,project,group,sample,group_idx,type
356,panlab,ALL-TLS_209,P1,1,P1
357,panlab,ALL-TLS_209,P2,2,P2
358,panlab,ALL-TLS_209,P3,3,P3
359,panlab,ALL-TLS_209,P4,4,P4
360,panlab,ALL-TLS_211,HE,0,HE
361,panlab,ALL-TLS_211,P1,1,P1
362,panlab,ALL-TLS_211,P2,2,P2
363,panlab,ALL-TLS_211,P3,3,P3
364,panlab,ALL-TLS_211,P4,4,P4
365,panlab,ALL-TLS_212,HE,0,HE
366,panlab,ALL-TLS_212,P1,1,P1
367,panlab,ALL-TLS_212,P2,2,P2
368,panlab,ALL-TLS_212,P3,3,P3
369,panlab,ALL-TLS_212,P4,4,P4
370,panlab,ALL-TLS_213-FD,HE,0,HE
371,panlab,ALL-TLS_213-FD,P1,1,P1
372,panlab,ALL-TLS_213-FD,P2,2,P2
373,panlab,ALL-TLS_213-FD,P3,3,P3
374,panlab,ALL-TLS_213-FD,P4,4,P4
375,panlab,ALL-TLS_215,HE,0,HE
376,panlab,ALL-TLS_215,P1,1,P1
377,panlab,ALL-TLS_215,P2,2,P2
378,panlab,ALL-TLS_215,P3,3,P3
379,panlab,ALL-TLS_215,P4,4,P4
380,panlab,ALL-TLS_216,HE,0,HE
381,panlab,ALL-TLS_216,P1,1,P1
382,panlab,ALL-TLS_216,P2,2,P2
383,panlab,ALL-TLS_216,P3,3,P3
384,panlab,ALL-TLS_216,P4,4,P4
385,panlab,ALL-TLS_217,HE,0,HE
386,panlab,ALL-TLS_217,P1,1,P1
387,panlab,ALL-TLS_217,P2,2,P2
388,panlab,ALL-TLS_217,P3,3,P3
389,panlab,ALL-TLS_217,P4,4,P4
390,panlab,ALL-TLS_218,HE,0,HE
391,panlab,ALL-TLS_218,P1,1,P1
392,panlab,ALL-TLS_218,P2,2,P2
393,panlab,ALL-TLS_218,P3,3,P3
394,panlab,ALL-TLS_218,P4,4,P4
395,panlab,ALL-TLS_22,HE,0,HE
396,panlab,ALL-TLS_22,P1,1,P1
397,panlab,ALL-TLS_22,P2,2,P2
398,panlab,ALL-TLS_22,P3,3,P3
399,panlab,ALL-TLS_22,P4,4,P4
400,panlab,ALL-TLS_221,HE,0,HE
401,panlab,ALL-TLS_221,P1,1,P1
402,panlab,ALL-TLS_221,P2,2,P2
403,panlab,ALL-TLS_221,P3,3,P3
404,panlab,ALL-TLS_221,P4,4,P4
405,panlab,ALL-TLS_222,HE,0,HE
406,panlab,ALL-TLS_222,P1,1,P1
407,panlab,ALL-TLS_222,P2,2,P2
408,panlab,ALL-TLS_222,P3,3,P3
409,panlab,ALL-TLS_222,P4,4,P4
410,panlab,ALL-TLS_223,HE,0,HE
411,panlab,ALL-TLS_223,P1,1,P1
412,panlab,ALL-TLS_223,P2,2,P2
413,panlab,ALL-TLS_223,P3,3,P3
414,panlab,ALL-TLS_223,P4,4,P4
415,panlab,ALL-TLS_224,HE,0,HE
416,panlab,ALL-TLS_224,P1,1,P1
417,panlab,ALL-TLS_224,P3,2,P3
418,panlab,ALL-TLS_224,P4,3,P4
419,panlab,ALL-TLS_226,HE,0,HE
420,panlab,ALL-TLS_226,P1,1,P1
421,panlab,ALL-TLS_226,P2,2,P2
422,panlab,ALL-TLS_226,P3,3,P3
423,panlab,ALL-TLS_226,P4,4,P4
424,panlab,ALL-TLS_227,HE,0,HE
425,panlab,ALL-TLS_227,P1,1,P1
426,panlab,ALL-TLS_227,P2,2,P2
427,panlab,ALL-TLS_227,P3,3,P3
428,panlab,ALL-TLS_227,P4,4,P4
429,panlab,ALL-TLS_229,HE,0,HE
430,panlab,ALL-TLS_229,P1,1,P1
431,panlab,ALL-TLS_229,P2,2,P2
432,panlab,ALL-TLS_229,P3,3,P3
433,panlab,ALL-TLS_229,P4,4,P4
434,panlab,ALL-TLS_233,HE,0,HE
435,panlab,ALL-TLS_233,P1,1,P1
436,panlab,ALL-TLS_233,P2,2,P2
437,panlab,ALL-TLS_233,P3,3,P3
438,panlab,ALL-TLS_233,P4,4,P4
439,panlab,ALL-TLS_234,HE,0,HE
440,panlab,ALL-TLS_234,P1,1,P1
441,panlab,ALL-TLS_234,P2,2,P2
442,panlab,ALL-TLS_234,P3,3,P3
443,panlab,ALL-TLS_234,P4,4,P4
444,panlab,ALL-TLS_235,HE,0,HE
445,panlab,ALL-TLS_235,P1,1,P1
446,panlab,ALL-TLS_235,P2,2,P2
447,panlab,ALL-TLS_235,P3,3,P3
448,panlab,ALL-TLS_235,P4,4,P4
449,panlab,ALL-TLS_236,HE,0,HE
450,panlab,ALL-TLS_236,P1,1,P1
451,panlab,ALL-TLS_236,P2,2,P2
452,panlab,ALL-TLS_236,P3,3,P3
453,panlab,ALL-TLS_236,P4,4,P4
454,panlab,ALL-TLS_237,HE,0,HE
455,panlab,ALL-TLS_237,P1,1,P1
456,panlab,ALL-TLS_237,P2,2,P2
457,panlab,ALL-TLS_237,P3,3,P3
458,panlab,ALL-TLS_237,P4,4,P4
459,panlab,ALL-TLS_238,HE,0,HE
460,panlab,ALL-TLS_238,P1,1,P1
